,00_type_model,0_auc,0_precision,0_recall,1_normalisation,1_SMOT,1_fold,2_solver,3_activation,3_hiddenlayer,3_alpha,4_beta1ADAM,4_beta2ADAM,4_epsilonADAM
0,MLP_Classifier,0.4981,0.0,0.0,YES,NO,1,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4749,0.0608,0.5638,YES,YES,1,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4985,0.0,0.0,YES,NO,2,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4783,0.0554,0.5412,YES,YES,2,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4974,0.0,0.0,YES,NO,3,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5205,0.0655,0.6591,YES,YES,3,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5029,0.1667,0.0095,YES,NO,4,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4983,0.0733,0.6095,YES,YES,4,lbfgs,relu,10,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.497,0.0,0.0,YES,NO,1,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4787,0.0616,0.5745,YES,YES,1,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,2,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4971,0.0591,0.6235,YES,YES,2,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4974,0.0,0.0,YES,NO,3,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5186,0.0652,0.6591,YES,YES,3,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5029,0.1667,0.0095,YES,NO,4,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4983,0.0733,0.6095,YES,YES,4,lbfgs,relu,10,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5031,0.1429,0.0106,YES,NO,1,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4752,0.0609,0.5638,YES,YES,1,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4989,0.0,0.0,YES,NO,2,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4942,0.0586,0.6588,YES,YES,2,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,3,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5205,0.0655,0.6591,YES,YES,3,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5032,0.2,0.0095,YES,NO,4,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.5049,0.0747,0.6476,YES,YES,4,lbfgs,relu,10,0.2,NaN,NaN,NaN
0,MLP_Classifier,0.4977,0.0,0.0,YES,NO,1,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4752,0.0609,0.5638,YES,YES,1,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,2,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.479,0.0556,0.5412,YES,YES,2,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,3,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5194,0.0653,0.6591,YES,YES,3,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.5032,0.2,0.0095,YES,NO,4,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4987,0.0734,0.6095,YES,YES,4,lbfgs,relu,20,0.1,NaN,NaN,NaN
0,MLP_Classifier,0.4974,0.0,0.0,YES,NO,1,lbfgs,relu,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4737,0.0606,0.5638,YES,YES,1,lbfgs,relu,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4993,0.0,0.0,YES,NO,2,lbfgs,relu,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4838,0.0565,0.5529,YES,YES,2,lbfgs,relu,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.4989,0.0,0.0,YES,NO,3,lbfgs,relu,20,0.01,NaN,NaN,NaN
0,MLP_Classifier,0.5201,0.0655,0.6591,YES,YES,3,lbfgs,relu,20,0.01,NaN,NaN,NaN
