,00_type_model,0_auc,0_precision,0_recall,1_normalisation,1_SMOT,1_fold,2_solver,3_activation,3_hiddenlayer,3_alpha,4_beta1ADAM,4_beta2ADAM,4_epsilonADAM
0,MLP_Classifier,0.5391,0.0629,0.6875,YES,YES,1,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.4826,0.0605,0.4891,YES,YES,2,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5078,0.0769,0.5888,YES,YES,3,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.4954,0.0692,0.63,YES,YES,4,adam,relu,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.4826,0.0605,0.4891,YES,YES,2,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5082,0.077,0.5888,YES,YES,3,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.4962,0.0694,0.64,YES,YES,4,adam,relu,10,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5396,0.0632,0.6625,YES,YES,1,adam,relu,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.4786,0.0597,0.5,YES,YES,2,adam,relu,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5156,0.0788,0.6075,YES,YES,3,adam,relu,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.4958,0.0693,0.64,YES,YES,4,adam,relu,10,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5386,0.0632,0.65,YES,YES,1,adam,relu,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.4822,0.0604,0.4891,YES,YES,2,adam,relu,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5052,0.0763,0.5888,YES,YES,3,adam,relu,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.4958,0.0693,0.64,YES,YES,4,adam,relu,10,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5287,0.0608,0.7,YES,YES,1,adam,relu,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.4768,0.0594,0.5,YES,YES,2,adam,relu,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5078,0.0769,0.5888,YES,YES,3,adam,relu,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.4965,0.0695,0.63,YES,YES,4,adam,relu,10,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.4786,0.0597,0.5,YES,YES,2,adam,relu,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5082,0.077,0.5888,YES,YES,3,adam,relu,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.4966,0.0695,0.64,YES,YES,4,adam,relu,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5393,0.0633,0.65,YES,YES,1,adam,relu,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,relu,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.4969,0.0695,0.63,YES,YES,4,adam,relu,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,relu,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5114,0.0779,0.5701,YES,YES,3,adam,relu,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.4973,0.0696,0.63,YES,YES,4,adam,relu,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5318,0.0616,0.675,YES,YES,1,adam,relu,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.4786,0.0597,0.5,YES,YES,2,adam,relu,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.506,0.0765,0.5701,YES,YES,3,adam,relu,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.4966,0.0695,0.64,YES,YES,4,adam,relu,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5362,0.0623,0.6875,YES,YES,1,adam,relu,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.4779,0.0596,0.5,YES,YES,2,adam,relu,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5101,0.0776,0.5607,YES,YES,3,adam,relu,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.4992,0.07,0.64,YES,YES,4,adam,relu,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.54,0.0633,0.6625,YES,YES,1,adam,relu,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.502,0.0756,0.5234,YES,YES,3,adam,relu,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.4973,0.0696,0.63,YES,YES,4,adam,relu,10,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.5287,0.0608,0.7,YES,YES,1,adam,relu,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.4978,0.0641,0.587,YES,YES,2,adam,relu,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5083,0.077,0.5981,YES,YES,3,adam,relu,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,10,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.4786,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5095,0.0773,0.5981,YES,YES,3,adam,relu,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.467,0.063,0.54,YES,YES,4,adam,relu,50,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.5,0.555,1e-10
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5037,0.0653,0.6087,YES,YES,2,adam,relu,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.4966,0.0695,0.64,YES,YES,4,adam,relu,50,0.1,0.5,0.555,1e-05
0,MLP_Classifier,0.5322,0.0616,0.675,YES,YES,1,adam,relu,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.5,0.999,1e-08
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.5114,0.0779,0.5701,YES,YES,3,adam,relu,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.4966,0.0695,0.64,YES,YES,4,adam,relu,50,0.1,0.5,0.999,1e-10
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.4786,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5322,0.0616,0.675,YES,YES,1,adam,relu,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.4658,0.0628,0.54,YES,YES,4,adam,relu,50,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5322,0.0616,0.675,YES,YES,1,adam,relu,50,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.4779,0.0596,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5114,0.0779,0.5701,YES,YES,3,adam,relu,50,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5322,0.0616,0.675,YES,YES,1,adam,relu,50,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5322,0.0616,0.675,YES,YES,1,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.4779,0.0596,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.4951,0.0692,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.999,1e-10
0,MLP_Classifier,0.529,0.0609,0.7,YES,YES,1,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.4783,0.0597,0.5,YES,YES,2,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5098,0.0774,0.5981,YES,YES,3,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.4966,0.0695,0.64,YES,YES,4,adam,relu,50,0.1,0.9,0.999,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,identity,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,identity,10,0.1,0.5,0.555,1e-08
0,MLP_Classifier,0.5168,0.0791,0.6075,YES,YES,3,adam,identity,10,0.1,0.5,0.555,1e-08
