;00_type_model;0_auc;0_precision;0_recall;1_normalisation;1_SMOT;1_fold;2_solver;3_activation;3_hiddenlayer;3_alpha;4_beta1ADAM;4_beta2ADAM;4_epsilonADAM
0;MLP_Classifier;0.5879;0.0803;0.5854;NO;NO;4;lbfgs;logistic;1z;0z1;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.583;0.1146;0.375;YES;YES;2;ADAM;relu;5z;0z1;0z5;0z999;0z00000001
0;MLP_Classifier;0.5804;0.0766;0.6098;NO;YES;4;lbfgs;logistic;5z;0z0001;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5778;0.1007;0.4375;YES;YES;2;ADAM;logistic;5z;0z1;0z5;0z555;0z0000000001
0;MLP_Classifier;0.5772;0.1058;0.3958;YES;YES;2;ADAM;identity;1z;0z1;0z9;0z555;0z00000001
0;MLP_Classifier;0.5761;0.1034;0.4062;YES;YES;2;ADAM;identity;5z;0z1;0z5;0z999;0z0000000001
0;MLP_Classifier;0.576;0.102;0.4167;YES;YES;2;ADAM;logistic;1z;0z1;0z5;0z555;0z0000000001
0;MLP_Classifier;0.5743;0.1068;0.375;YES;YES;2;ADAM;relu;1z;0z0001;0z9;0z555;0z00000001
0;MLP_Classifier;0.5739;0.1033;0.3958;YES;YES;2;ADAM;identity;1z;0z1;0z9;0z999;0z00001
0;MLP_Classifier;0.5739;0.1033;0.3958;YES;YES;2;ADAM;identity;5z;0z1;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5735;0.103;0.3958;YES;YES;2;ADAM;identity;1z;0z1;0z5;0z999;0z00000001
0;MLP_Classifier;0.5726;0.0998;0.4167;YES;YES;2;ADAM;logistic;5z;0z1;0z5;0z555;0z00001
0;MLP_Classifier;0.5726;0.109;0.3542;YES;YES;2;ADAM;relu;5z;0z1;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5724;0.1022;0.3958;YES;YES;2;ADAM;identity;5z;0z1;0z5;0z999;0z00000001
0;MLP_Classifier;0.5723;0.1008;0.4062;YES;YES;2;ADAM;identity;5z;0z1;0z5;0z999;0z00001
0;MLP_Classifier;0.5702;0.1034;0.375;YES;YES;2;ADAM;relu;5z;0z001;0z5;0z555;0z00000001
0;MLP_Classifier;0.5699;0.1066;0.3542;YES;YES;2;ADAM;relu;1z;0z1;0z5;0z999;0z00001
0;MLP_Classifier;0.5696;0.0978;0.4167;YES;YES;2;ADAM;logistic;1z;0z1;0z5;0z555;0z00000001
0;MLP_Classifier;0.5691;0.1026;0.375;YES;YES;2;ADAM;identity;1z;0z1;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5688;0.1039;0.3646;YES;YES;2;ADAM;relu;1z;0z1;0z5;0z999;0z00000001
0;MLP_Classifier;0.5686;0.1008;0.3854;YES;YES;2;ADAM;identity;5z;0z0001;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5685;0.1215;0.3514;YES;YES;3;ADAM;relu;1z;0z001;0z5;0z555;0z00001
0;MLP_Classifier;0.5679;0.1003;0.3854;YES;YES;2;ADAM;identity;5z;0z001;0z9;0z999;0z00001
0;MLP_Classifier;0.5679;0.1003;0.3854;YES;YES;2;lbfgs;identity;1z;0z1;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5675;0.0987;0.3958;YES;YES;2;ADAM;logistic;5z;0z1;0z5;0z999;0z0000000001
0;MLP_Classifier;0.5673;0.0839;0.6354;NO;YES;2;lbfgs;relu;5z;0z0001;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5671;0.0997;0.3854;YES;YES;2;lbfgs;identity;5z;0z1;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5668;0.0995;0.3854;YES;YES;2;ADAM;identity;1z;0z001;0z9;0z999;0z00000001
0;MLP_Classifier;0.5667;0.0982;0.3958;YES;YES;2;ADAM;logistic;1z;0z1;0z5;0z555;0z00001
0;MLP_Classifier;0.5666;0.1037;0.3542;YES;YES;2;ADAM;relu;1z;0z001;0z9;0z555;0z00001
0;MLP_Classifier;0.5666;0.1054;0.3438;YES;YES;2;ADAM;logistic;5z;0z0001;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5661;0.1003;0.375;YES;YES;2;ADAM;identity;1z;0z1;0z9;0z999;0z00000001
0;MLP_Classifier;0.5659;0.1048;0.3438;YES;YES;2;ADAM;logistic;5z;0z001;0z5;0z999;0z00000001
0;MLP_Classifier;0.5659;0.1067;0.3333;YES;YES;2;ADAM;relu;5z;0z1;0z9;0z999;0z00001
0;MLP_Classifier;0.5653;0.0997;0.375;YES;YES;2;ADAM;identity;1z;0z1;0z5;0z999;0z00001
0;MLP_Classifier;0.5646;0.0992;0.375;YES;YES;2;ADAM;logistic;5z;0z1;0z9;0z555;0z00001
0;MLP_Classifier;0.5645;0.0979;0.3854;YES;YES;2;ADAM;identity;5z;0z001;0z5;0z999;0z0000000001
0;MLP_Classifier;0.5644;0.1034;0.3438;YES;YES;2;ADAM;relu;1z;0z001;0z9;0z999;0z00001
0;MLP_Classifier;0.5642;0.0989;0.375;YES;YES;2;ADAM;identity;1z;0z0001;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5639;0.1;0.3646;YES;YES;2;ADAM;identity;1z;0z1;0z5;0z999;0z0000000001
0;MLP_Classifier;0.5638;0.0986;0.375;YES;YES;2;ADAM;identity;5z;0z1;0z9;0z555;0z00001
0;MLP_Classifier;0.5638;0.0986;0.375;YES;YES;2;ADAM;logistic;5z;0z1;0z9;0z999;0z00001
0;MLP_Classifier;0.5635;0.1012;0.3542;YES;YES;2;ADAM;relu;5z;0z0001;0z5;0z555;0z00000001
0;MLP_Classifier;0.5635;0.0997;0.3646;YES;YES;2;ADAM;logistic;5z;0z1;0z5;0z999;0z00001
0;MLP_Classifier;0.5632;0.0708;0.6341;NO;YES;4;lbfgs;logistic;5z;0z1;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5631;0.0981;0.375;YES;YES;2;ADAM;identity;1z;0z001;0z5;0z999;0z0000000001
0;MLP_Classifier;0.5631;0.0981;0.375;YES;YES;2;ADAM;identity;1z;0z0001;0z9;0z999;0z00000001
0;MLP_Classifier;0.5631;0.0981;0.375;YES;YES;2;ADAM;logistic;5z;0z1;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5631;0.0981;0.375;YES;YES;2;lbfgs;identity;1z;0z001;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5629;0.1039;0.3333;YES;YES;2;ADAM;relu;5z;0z001;0z9;0z999;0z00001
0;MLP_Classifier;0.5627;0.0992;0.3646;YES;YES;2;ADAM;logistic;5z;0z1;0z9;0z999;0z00000001
0;MLP_Classifier;0.5627;0.0978;0.375;YES;YES;2;lbfgs;identity;5z;0z0001;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5627;0.0978;0.375;YES;YES;2;lbfgs;identity;5z;0z001;NaNzz;NaNzz;NaNzz
0;MLP_Classifier;0.5622;0.1204;0.3243;YES;YES;3;ADAM;logistic;1z;0z0001;0z9;0z999;0z00001
0;MLP_Classifier;0.5621;0.1015;0.3438;YES;YES;2;ADAM;relu;1z;0z001;0z5;0z999;0z00000001
0;MLP_Classifier;0.562;0.0986;0.3646;YES;YES;2;ADAM;identity;5z;0z1;0z9;0z999;0z00000001
0;MLP_Classifier;0.5619;0.0973;0.375;YES;YES;2;ADAM;logistic;1z;0z1;0z5;0z999;0z00000001
0;MLP_Classifier;0.5619;0.0973;0.375;YES;YES;2;ADAM;logistic;1z;0z1;0z9;0z999;0z00000001
0;MLP_Classifier;0.5618;0.1029;0.3333;YES;YES;2;ADAM;relu;5z;0z001;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5617;0.0997;0.3542;YES;YES;2;ADAM;relu;5z;0z1;0z5;0z555;0z0000000001
0;MLP_Classifier;0.5616;0.0983;0.3646;YES;YES;2;ADAM;identity;1z;0z001;0z9;0z999;0z0000000001
0;MLP_Classifier;0.5614;0.1026;0.3333;YES;YES;2;ADAM;logistic;5z;0z0001;0z9;0z999;0z00000001
