,0_type_model,0_auc,0_precision,0_recall,0_solver,1_fold,1_parametres
0,MLP_Classifier,0.5016,0.0769,0.0485,lbfgs,1,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.0001}"
0,MLP_Classifier,0.5089,0.0769,0.0805,lbfgs,2,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.0001}"
0,MLP_Classifier,0.5347,0.141,0.1196,lbfgs,3,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.0001}"
0,MLP_Classifier,0.5431,0.12,0.1685,lbfgs,4,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.0001}"
0,MLP_Classifier,0.4829,0.0274,0.0194,lbfgs,1,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.001}"
0,MLP_Classifier,0.5286,0.1268,0.1034,lbfgs,2,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.001}"
0,MLP_Classifier,0.5174,0.1129,0.0761,lbfgs,3,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.001}"
0,MLP_Classifier,0.512,0.0875,0.0787,lbfgs,4,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.001}"
0,MLP_Classifier,0.5188,0.1311,0.0777,lbfgs,1,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.1}"
0,MLP_Classifier,0.5308,0.1385,0.1034,lbfgs,2,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.1}"
0,MLP_Classifier,0.5283,0.1406,0.0978,lbfgs,3,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.1}"
0,MLP_Classifier,0.5285,0.1324,0.1011,lbfgs,4,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 0.1}"
0,MLP_Classifier,0.5085,0.1212,0.0388,lbfgs,1,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 1}"
0,MLP_Classifier,0.501,0.0667,0.023,lbfgs,2,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 1}"
0,MLP_Classifier,0.5214,0.1667,0.0652,lbfgs,3,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 1}"
0,MLP_Classifier,0.4978,0.0526,0.0225,lbfgs,4,"{'activation': 'tanh', 'hiddenlayer': 10, 'alpha': 1}"
0,MLP_Classifier,0.5143,0.1096,0.0777,lbfgs,1,"{'activation': 'tanh', 'hiddenlayer': 50, 'alpha': 0.0001}"
0,MLP_Classifier,0.5148,0.0933,0.0805,lbfgs,2,"{'activation': 'tanh', 'hiddenlayer': 50, 'alpha': 0.0001}"
0,MLP_Classifier,0.4874,0.0375,0.0326,lbfgs,3,"{'activation': 'tanh', 'hiddenlayer': 50, 'alpha': 0.0001}"
0,MLP_Classifier,0.4996,0.0617,0.0562,lbfgs,4,"{'activation': 'tanh', 'hiddenlayer': 50, 'alpha': 0.0001}"
0,MLP_Classifier,0.5003,0.0729,0.068,lbfgs,1,"{'activation': 'tanh', 'hiddenlayer': 50, 'alpha': 0.001}"
0,MLP_Classifier,0.5044,0.068,0.0805,lbfgs,2,"{'activation': 'tanh', 'hiddenlayer': 50, 'alpha': 0.001}"
